Communication Type:;heterarchical
Number of Rovers: ;16

Cycle 1;Cycle 1;Cycle 1;Cycle 2;Cycle 2;Cycle 2;Cycle 3;Cycle 3;Cycle 3;Cycle 4;Cycle 4;Cycle 4;Cycle 5;Cycle 5;Cycle 5;Cycle 6;Cycle 6;Cycle 6;Cycle 7;Cycle 7;Cycle 7;Cycle 8;Cycle 8;Cycle 8;Cycle 9;Cycle 9;Cycle 9;Cycle 10;Cycle 10;Cycle 10;Cycle 11;Cycle 11;Cycle 11;Cycle 12;Cycle 12;Cycle 12;Cycle 13;Cycle 13;Cycle 13;Cycle 14;Cycle 14;Cycle 14;Cycle 15;Cycle 15;Cycle 15;Cycle 16;Cycle 16;Cycle 16;Cycle 17;Cycle 17;Cycle 17;Cycle 18;Cycle 18;Cycle 18;Cycle 19;Cycle 19;Cycle 19;Cycle 20;Cycle 20;Cycle 20;Cycle 21;Cycle 21;Cycle 21;Cycle 22;Cycle 22;Cycle 22;Cycle 23;Cycle 23;Cycle 23;Cycle 24;Cycle 24;Cycle 24;Cycle 25;Cycle 25;Cycle 25;Cycle 26;Cycle 26;Cycle 26;Cycle 27;Cycle 27;Cycle 27;Cycle 28;Cycle 28;Cycle 28;Cycle 29;Cycle 29;Cycle 29;Cycle 30;Cycle 30;Cycle 30
Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;;Number of Collisions;0;
Number of Communication;806.0;;Number of Communication;1033.0;;Number of Communication;727.0;;Number of Communication;807.0;;Number of Communication;661.0;;Number of Communication;1080.0;;Number of Communication;647.0;;Number of Communication;837.0;;Number of Communication;731.0;;Number of Communication;838.0;;Number of Communication;875.0;;Number of Communication;785.0;;Number of Communication;755.0;;Number of Communication;713.0;;Number of Communication;931.0;;Number of Communication;623.0;;Number of Communication;778.0;;Number of Communication;720.0;;Number of Communication;887.0;;Number of Communication;691.0;;Number of Communication;688.0;;Number of Communication;737.0;;Number of Communication;641.0;;Number of Communication;774.0;;Number of Communication;729.0;;Number of Communication;576.0;;Number of Communication;842.0;;Number of Communication;916.0;;Number of Communication;792.0;;Number of Communication;720.0;
Throughput;45.5;;Throughput;30.87;;Throughput;69.82;;Throughput;29.91;;Throughput;51.2;;Throughput;39.82;;Throughput;45.5;;Throughput;34.61;;Throughput;59.63;;Throughput;42.8;;Throughput;31.56;;Throughput;47.74;;Throughput;43.44;;Throughput;47.76;;Throughput;32.98;;Throughput;68.09;;Throughput;35.4;;Throughput;55.11;;Throughput;29.91;;Throughput;53.01;;Throughput;45.5;;Throughput;28.99;;Throughput;39.3;;Throughput;40.44;;Throughput;35.41;;Throughput;118.37;;Throughput;45.5;;Throughput;35.41;;Throughput;39.3;;Throughput;45.5;
priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection;priority;delay;time at intersection
10;4;11.74;8;0;6.43;8;0;6.43;5;0;6.43;2;8;16.1;4;6;14.11;6;0;6.43;9;0;7.75;3;6;14.11;1;0;7.75;3;18;25.75;3;13;21.11;3;6;14.11;5;10;16.43;7;6;13.75;7;0;6.43;4;8;15.75;8;0;7.75;2;24;32.1;9;3;10.74;9;9;16.75;1;25;33.11;2;17;25.1;10;0;7.75;9;12;19.75;9;0;7.75;6;8;14.43;10;15;22.74;7;1;8.76;4;7;15.11
1;1;9.11;9;0;7.75;5;9;15.43;5;0;6.43;10;0;7.75;1;16;24.11;8;0;6.43;7;4;10.43;2;8;16.1;9;6;14.11;5;0;7.75;7;0;6.43;4;8;16.11;2;12;20.1;10;2;8.44;1;6;14.1;4;19;27.12;5;1;7.44;3;15;22.75;2;2;10.11;5;13;19.42;8;0;6.43;4;3;11.11;3;17;25.11;6;3;9.43;6;0;6.43;1;12;20.1;2;11;18.75;7;10;16.42;5;12;18.43
7;0;6.43;8;4;10.43;9;6;13.75;3;12;19.75;9;1;8.76;9;0;7.75;8;3;9.43;5;3;9.44;8;1;8.75;2;20;27.75;2;17;25.11;7;0;7.75;1;14;22.1;1;12;20.1;3;3;10.75;4;0;8.11;7;6;13.74;5;2;9.75;9;5;13.11;6;0;6.43;10;3;10.75;2;23;31.11;3;3;11.11;4;0;7.75;10;0;7.75;3;1;9.11;1;15;23.1;10;0;8.11;2;18;24.43;7;0;6.43
8;0;6.43;8;0;6.43;6;0;7.75;4;4;11.75;4;8;15.75;1;1;8.75;5;1;7.43;6;3;9.43;6;0;6.43;9;4;12.11;6;0;6.43;5;1;7.43;10;0;7.75;10;12;19.75;4;18;26.11;5;0;6.43;10;5;13.1;4;1;7.43;10;19;26.75;10;0;7.75;1;11;19.11;7;0;6.43;5;0;6.43;5;3;11.11;1;18;26.1;6;0;7.75;5;0;6.43;9;6;13.75;2;18;25.74;1;13;21.1
10;0;7.75;9;11;18.75;3;2;9.75;3;5;13.11;5;0;7.75;3;3;11.11;7;4;10.43;5;2;8.43;4;6;12.43;4;8;15.75;10;3;10.75;8;0;7.75;8;6;12.44;5;0;6.43;3;1;9.12;8;0;7.75;9;19;25.45;2;11;17.42;3;4;11.75;10;4;11.75;10;0;7.75;3;9;17.11;4;7;14.75;8;11;17.43;4;3;11.1;3;0;6.43;2;13;21.1;1;12;19.75;6;12;20.11;4;10;18.11
1;13;21.1;10;6;13.74;7;0;6.43;4;0;7.75;5;0;8.11;4;13;21.1;4;4;12.11;3;3;11.11;4;4;12.11;7;10;18.11;3;6;13.75;4;12;18.43;3;11;19.1;7;0;6.43;4;17;25.12;1;1;7.43;1;0;7.75;2;11;19.1;4;27;34.74;5;1;7.43;4;2;9.75;1;9;16.75;8;13;21.1;9;2;8.43;1;13;21.11;5;3;11.11;1;3;11.11;6;4;11.75;8;15;23.1;4;10;18.12
